Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,MPAA,Date
Eternal Sunshine of the Spotless Mind,108,Drama; Romance; Sci-Fi,Brad Bird,Charlie Kaufman; Michel Gondry,Jim Carrey; Kate Winslet; Tom Wilkinson,89,8.4,391485,2.00E+07,3.41E+07,R,19-Mar-04
Harry Potter and the Prisoner of Azkaban,141,Adventure; Family; Fantasy,Jared Hess,J.K. Rowling; Steve Kloves,Daniel Radcliffe; Emma Watson; Rupert Grint,82,7.7,226227,1.30E+08,2.49E+08,PG,4-Jun-04
White Chicks,109,Crime; Comedy,Paul Haggis,Keenen Ivory Wayans; Shawn Wayans,Marlon Wayans; Shawn Wayans; Busy Philipps,41,5,57128,,6.91E+07,PG-13,23-Jun-04
Napoleon Dynamite,82,Comedy,Alfonso Cuarn,Jared Hess; Jerusha Hess,Jon Heder; Efren Ramirez; Jon Gries,64,6.8,113168,400000,4.45E+07,PG,27-Aug-04
Anchorman: The Legend of Ron Burgundy,94,Comedy,Keenen Ivory Wayans,Will Ferrell; Adam McKay,Will Ferrell; Christina Applegate; Steve Carell,63,7.2,149471,2.60E+07,8.41E+07,PG-13,9-Jul-04
The Girl Next Door,108,Comedy; Drama; Romance,Quentin Tarantino,David Wagner; Brent Goldberg,Emile Hirsch; Nicholas Downs; Elisha Cuthbert,47,6.8,117556,,1.46E+07,R,9-Apr-04
Crash,112,Drama,Alex Proyas,Paul Haggis; Paul Haggis,Don Cheadle; Sandra Bullock; Thandie Newton,69,7.9,264778,6500000,5.46E+07,R,6-May-05
The Chronicles of Riddick,119,Action; Adventure; Sci-Fi,Mel Gibson,Jim Wheat; Ken Wheat,Vin Diesel; Judi Dench; Colm Feore,38,6.6,116103,1.05E+08,5.78E+07,PG-13,11-Jun-04
The Aviator,170,Biography; Drama,Brad Anderson,John Logan,Leonardo DiCaprio; Cate Blanchett; Kate Beckinsale,77,7.5,162378,1.10E+08,1.03E+08,PG-13,25-Dec-04
Kill Bill: Vol. 2,137,Action; Crime; Thriller,Edgar Wright,Quentin Tarantino; Quentin Tarantino,Uma Thurman; David Carradine; Michael Madsen,83,8,325956,3.00E+07,6.62E+07,R,16-Apr-04
